Time,Alameda
2019-04-13,626.0
2019-04-14,451.0
2019-04-15,1024.0
2019-04-16,1062.0
2019-04-17,1106.0
2019-04-18,1047.0
2019-04-19,527.0
2019-04-20,507.0
2019-04-21,463.0
2019-04-22,1051.0
2019-04-23,1064.0
2019-04-24,648.0
2019-04-25,978.0
2019-04-26,943.0
2019-04-27,728.0
2019-04-28,475.0
2019-04-29,1026.0
2019-04-30,945.0
2019-05-01,505.0
2019-05-02,996.0
2019-05-03,849.0
2019-05-04,614.0
2019-05-05,513.0
2019-05-06,1017.0
2019-05-07,1007.0
2019-05-08,921.0
2019-05-09,930.0
2019-05-10,989.0
2019-05-11,647.0
2019-05-12,425.0
2019-05-13,1076.0
2019-05-14,1083.0
2019-05-15,1098.0
2019-05-16,928.0
2019-05-17,911.0
2019-05-18,564.0
2019-05-19,401.0
2019-05-20,639.0
2019-05-21,489.0
2019-05-22,926.0
2019-05-23,997.0
2019-05-24,921.0
2019-05-25,674.0
2019-05-26,455.0
2019-05-27,1054.0
2019-05-28,987.0
2019-05-29,488.0
2019-05-30,590.0
2019-05-31,723.0
2019-06-01,513.0
2019-06-02,453.0
2019-06-03,922.0
2019-06-04,938.0
2019-06-05,941.0
2019-06-06,801.0
2019-06-07,859.0
2019-06-08,624.0
2019-06-09,388.0
2019-06-10,927.0
2019-06-11,861.0
2019-06-12,839.0
2019-06-13,670.0
2019-06-14,512.0
2019-06-15,547.0
2019-06-16,393.0
2019-06-17,835.0
2019-06-18,802.0
2019-06-19,900.0
2019-06-20,864.0
2019-06-21,828.0
2019-06-22,610.0
2019-06-23,420.0
2019-06-24,628.0
2019-06-25,768.0
2019-06-26,860.0
2019-06-27,763.0
2019-06-28,713.0
2019-06-29,122.0
2019-06-30,337.0
2019-07-01,821.0
2019-07-02,785.0
2019-07-03,769.0
2019-07-04,820.0
2019-07-05,801.0
2019-07-06,612.0
2019-07-07,345.0
2019-07-08,827.0
2019-07-09,865.0
2019-07-10,880.0
2019-07-11,850.0
2019-07-12,813.0
2019-07-13,576.0
2019-07-14,394.0
2019-07-15,720.0
2019-07-16,476.0
2019-07-17,860.0
2019-07-18,850.0
2019-07-19,859.0
2019-07-20,653.0
2019-07-21,117.0
2019-07-22,825.0
2019-07-23,843.0
2019-07-24,805.0
2019-07-25,931.0
2019-07-26,858.0
2019-07-27,648.0
2019-07-28,387.0
2019-07-29,781.0
2019-07-30,1041.0
2019-07-31,830.0
2019-08-01,906.0
2019-08-02,779.0
2019-08-03,629.0
2019-08-04,573.0
2019-08-05,976.0
2019-08-06,955.0
2019-08-07,900.0
2019-08-08,898.0
2019-08-09,923.0
2019-08-10,700.0
2019-08-11,382.0
2019-08-12,912.0
2019-08-13,987.0
2019-08-14,989.0
2019-08-15,458.0
2019-08-16,831.0
2019-08-17,623.0
2019-08-18,418.0
2019-08-19,978.0
2019-08-20,1006.0
2019-08-21,922.0
2019-08-22,1027.0
2019-08-23,1034.0
2019-08-24,765.0
2019-08-25,512.0
2019-08-26,1068.0
2019-08-27,1114.0
2019-08-28,1139.0
2019-08-29,1106.0
2019-08-30,1017.0
2019-08-31,700.0
2019-09-01,518.0
2019-09-02,1091.0
2019-09-03,1116.0
2019-09-04,1083.0
2019-09-05,971.0
2019-09-06,951.0
2019-09-07,624.0
2019-09-08,508.0
2019-09-09,673.0
2019-09-10,990.0
2019-09-11,1025.0
2019-09-12,1013.0
2019-09-13,1063.0
2019-09-14,612.0
2019-09-15,444.0
2019-09-16,875.0
2019-09-17,750.0
2019-09-18,384.0
2019-09-19,323.0
2019-09-20,381.0
2019-09-21,552.0
2019-09-22,525.0
2019-09-23,1087.0
2019-09-24,1158.0
2019-09-25,1153.0
2019-09-26,1133.0
2019-09-27,976.0
2019-09-28,893.0
2019-09-29,618.0
2019-09-30,894.0
2019-10-01,842.0
2019-10-02,1064.0
2019-10-03,1083.0
2019-10-04,1012.0
